id;color;matricula;potencia;precio;puertas;combustible;vendido;marca_id;modelo_id
1;Azul;open-source;82329;45821;Montserrat Raton Guantes;architect bypass;true;1;1
2;Verde;Account artificial Compartible;72479;62467;compressing hack withdrawal;Berkshire Dollar Guapo;false;2;2
3;Negro;Kuwait;35447;30016;group Patatas;Arrabal Berkshire;false;3;3
4;Violeta;transmitting;67498;21059;Irlanda;IB cross-platform;true;4;4
5;Negro;proyección;92129;98536;input Checking Granito;International;true;5;5
6;Gris;bluetooth transmitting Personal;91837;46351;International blockchains Account;payment invoice;false;6;6
7;Violeta;synergies;36568;51661;Grupo logística;Ordenador Regional;false;7;7
8;Amarillo;Camiseta;58198;94092;protocol;Cuentas;true;8;8
9;Violeta;Guantes Deportes deposit;74775;94568;Arquitecto;Moda;true;9;9
10;Violeta;Corporativo Amarillo;86251;2225;Acero;Parafarmacia Account ADP;true;10;10
